n_el  name       dist[m]     Energy[MeV/u] (W-Wtmp)/Wtmp,%   x_rms[cm]      y_rms[cm]      Xmax[cm]       Ymax[cm]     phi_rms[deg]   phi_max[deg]   DW/W[rel.u.]   4*exn_rms[cm*mrad]   exn99.5[cm*mrad]    exn_max[cm*mrad]   4*eyn_rms[cm*mrad]   eyn99.5[cm*mrad]    eyn_max[cm*mrad]   4*ezn_rms[keV/u*ns]  ezn99.5[keV/u*ns]    ezn_max[keV/u*ns]     Xc[cm]       X'c[mrad]        Yc[cm]       Y'c[mrad]        btgm          Zc[deg]          a_x        b_x[cm/mrad]       a_y        b_y[cm/mrad]       a_z        b_z[deg/(%ofD_W/W)]  #of_lost_part  total#of_part 
  10  drift      1.44000        0.55172        0.32033        0.22543        0.22651        0.67352        0.61200        5.72787       18.12866        0.00608           0.11219             0.18697             0.22969             0.11306             0.18650             0.22661             2.26527             4.03700             5.59141         -0.04138       -0.02232        0.00394        0.15259        0.03437       -3.18021        0.61969        0.06227        0.62614        0.06238        0.58208          10.89260              0.0        100001.0
  11  cav        1.80000        0.60878        0.07005        0.23573        0.23589        0.71038        0.65537        5.08513       16.78093        0.00677           0.11229             0.18696             0.23399             0.11318             0.18771             0.22643             2.27947             4.23757             6.71564         -0.04873       -0.37549        0.00302       -0.23623        0.03615       -3.94662       -0.78903        0.07155       -0.77527        0.07109       -0.76034           9.43753              0.0        100001.0
  12  drift      1.88000        0.60878        0.07008        0.25807        0.25804        0.77665        0.71561        4.68413       15.31518        0.00673           0.11228             0.18719             0.23312             0.11317             0.18752             0.22566             2.27911             4.23353             6.69863         -0.05173       -0.37560        0.00113       -0.23622        0.03615       -4.01468       -0.98346        0.08576       -0.96833        0.08507       -0.56885           8.00905              0.0        100001.0
  13  sol3d      2.28000        0.60878        0.07013        0.25966        0.26022        0.75897        0.76006        4.33725       14.57979        0.00670           0.11216             0.18778             0.22516             0.11314             0.18809             0.22498             2.27422             4.20537             6.58117         -0.03706        0.60051        0.02821       -0.46350        0.03615       -4.30474        0.94989        0.08691        0.95812        0.08654        0.35886           6.88154              0.0        100001.0
  14  drift      2.34000        0.60878        0.07009        0.24341        0.24373        0.70554        0.70502        4.55170       15.22523        0.00672           0.11216             0.18770             0.22560             0.11314             0.18780             0.22518             2.27418             4.20790             6.58514         -0.03346        0.60045        0.02543       -0.46346        0.03615       -4.35592        0.81040        0.07638        0.81705        0.07591        0.50035           7.57900              0.0        100001.0
  15  cav        2.70000        0.67460       -0.28534        0.23093        0.23031        0.64652        0.63417        4.58013       14.44936        0.00570           0.11233             0.18804             0.22793             0.11329             0.18795             0.22536             2.25769             4.04313             5.54613         -0.01169        0.61138        0.00227       -0.86752        0.03812       -3.63603       -0.58050        0.07239       -0.56832        0.07139       -0.38037           8.59631              0.0        100001.0
  16  drift      2.78000        0.67460       -0.28529        0.24725        0.24652        0.68625        0.67559        4.41056       13.79779        0.00568           0.11233             0.18810             0.22772             0.11329             0.18790             0.22557             2.25789             4.04800             5.56809         -0.00680        0.61136       -0.00468       -0.86752        0.03812       -3.33796       -0.74062        0.08298       -0.72880        0.08179       -0.23199           7.97086              0.0        100001.0
  17  sol3d      3.18000        0.67460       -0.28527        0.23912        0.23716        0.65733        0.70135        4.77254       14.10336        0.00571           0.11329             0.18781             0.22411             0.11234             0.18762             0.22937             2.25651             4.02540             5.54463         -0.01083       -0.05619       -0.04173       -0.91955        0.03812       -1.80767        0.84223        0.07696        0.84256        0.07634        0.49983           9.33860              0.0        100001.0
  18  drift      3.24000        0.67460       -0.28529        0.22431        0.22235        0.61845        0.66686        4.98768       14.69303        0.00574           0.11328             0.18778             0.22434             0.11234             0.18760             0.22878             2.25641             4.02595             5.53015         -0.01117       -0.05620       -0.04725       -0.91961        0.03812       -1.58373        0.70156        0.06773        0.70076        0.06710        0.61316          10.20001              0.0        100001.0
  19  cav        3.60000        0.74693       -1.17443        0.22231        0.22041        0.62380        0.69641        4.45715       15.36422        0.00651           0.11396             0.18896             0.22739             0.11303             0.18902             0.23107             2.25613             3.90618             5.31454         -0.01392       -0.09424       -0.09352       -1.73698        0.04029        1.72389       -0.70541        0.06989       -0.70229        0.06927       -0.87564           9.10104              0.0        100001.0
  20  drift      3.68000        0.74693       -1.17441        0.24178        0.23982        0.66606        0.77353        4.06696       15.35024        0.00647           0.11396             0.18900             0.22716             0.11303             0.18921             0.23187             2.25628             3.90795             5.31693         -0.01468       -0.09426       -0.10741       -1.73715        0.04029        2.87751       -0.88883        0.08267       -0.88675        0.08201       -0.67369           7.57688              0.0        100001.0
  21  sol3d      4.08000        0.74692       -1.17474        0.25049        0.24762        0.77538        0.75271        3.54665       18.23330        0.00643           0.11394             0.18952             0.22349             0.11287             0.18889             0.22514             2.25476             3.91169             5.33655         -0.09311        0.89627       -0.07280        1.05800        0.04029        8.68646        0.77748        0.08875        0.76483        0.08755        0.30332           5.76604              0.0        100001.0
  22  drift      4.14000        0.74692       -1.17483        0.23804        0.23536        0.73809        0.71599        3.71484       19.30094        0.00644           0.11394             0.18947             0.22369             0.11287             0.18889             0.22460             2.25453             3.90924             5.33320         -0.08773        0.89615       -0.06645        1.05791        0.04029        9.55147        0.66107        0.08015        0.64826        0.07910        0.45107           6.32656              0.0        100001.0
  23  cav        4.50000        0.84944        0.24260        0.22465        0.22338        0.67917        0.65931        4.22084       22.03313        0.00464           0.11291             0.18731             0.21985             0.11191             0.18691             0.22120             2.26818             4.06050             5.80072         -0.06271        0.46744       -0.03321        0.72226        0.04266       11.11738       -0.47109        0.07628       -0.48095        0.07609        0.00122           9.10191              0.0        100001.0
  24  drift      4.58000        0.84944        0.24264        0.23708        0.23600        0.70979        0.68263        4.24557       22.08886        0.00464           0.11291             0.18725             0.21926             0.11191             0.18688             0.22090             2.26840             4.07000             5.81428         -0.05897        0.46735       -0.02743        0.72221        0.04266       10.89943       -0.60986        0.08495       -0.62108        0.08493        0.11248           9.20800              0.0        100001.0
  25  sol3d      4.98000        0.84944        0.24269        0.22754        0.22736        0.64888        0.63872        4.99856       24.31769        0.00472           0.11208             0.18712             0.22409             0.11278             0.18698             0.22127             2.26882             4.06610             5.80043         -0.01709        1.47947        0.01500       -0.39102        0.04266        9.83932        0.73456        0.07883        0.72331        0.07822        0.67137          12.76149              0.0        100001.0
  26  drift      5.04000        0.84944        0.24268        0.21560        0.21554        0.60434        0.59914        5.18698       24.91220        0.00474           0.11208             0.18724             0.22397             0.11278             0.18693             0.22122             2.26875             4.06583             5.78355         -0.00822        1.47945        0.01266       -0.39100        0.04266        9.67627        0.61111        0.07078        0.60024        0.07030        0.75890          13.74214              0.0        100001.0
  27  cav        5.40000        0.96157        0.97061        0.20745        0.20860        0.61334        0.56697        4.92664       22.69568        0.00515           0.11187             0.18689             0.22436             0.11260             0.18663             0.22297             2.33114             4.64687             7.05140          0.04428        1.46558       -0.00567       -0.71122        0.04523        6.92898       -0.54343        0.06960       -0.55283        0.06992       -1.00401          13.55988              0.0        100001.0
  28  drift      5.48000        0.96158        0.97065        0.22184        0.22323        0.66678        0.61879        4.62948       21.30006        0.00512           0.11187             0.18674             0.22390             0.11260             0.18661             0.22268             2.33059             4.63728             7.01556          0.05601        1.46564       -0.01136       -0.71123        0.04523        6.10183       -0.70173        0.07960       -0.71163        0.08007       -0.86739          11.97625              0.0        100001.0
  29  sol3d      5.88000        0.96158        0.97082        0.25765        0.25973        0.77627        0.80081        3.63917       14.44729        0.00503           0.11151             0.18664             0.21984             0.11289             0.18672             0.22123             2.32912             4.61362             6.95870          0.05858       -0.04071       -0.07579       -0.46422        0.04523        1.98142        0.10875        0.10771        0.09784        0.10811       -0.21388           7.40518              0.0        100001.0
  30  drift      5.94000        0.96158        0.97084        0.25657        0.25879        0.76773        0.80174        3.58734       13.57062        0.00502           0.11151             0.18658             0.22029             0.11289             0.18667             0.22170             2.32940             4.61945             6.96749          0.05834       -0.04065       -0.07857       -0.46429        0.04523        1.35997        0.04544        0.10680        0.03490        0.10733       -0.11785           7.19488              0.0        100001.0
  31  cav        6.30000        1.09812        0.85067        0.28464        0.28820        0.83553        0.89953        3.19796        9.71164        0.00510           0.11145             0.18645             0.22276             0.11282             0.18651             0.22444             2.33678             4.70789             7.60563          0.06049        0.24906       -0.10164       -1.02146        0.04837       -2.13960       -0.99752        0.14064       -1.01535        0.14243       -0.28048           6.51680              0.0        100001.0
  32  drift      6.38000        1.09812        0.85065        0.30133        0.30516        0.88193        0.94986        3.11479       10.12669        0.00509           0.11145             0.18641             0.22298             0.11282             0.18642             0.22461             2.33675             4.70846             7.59429          0.06248        0.24913       -0.10982       -1.02159        0.04837       -2.81830       -1.12016        0.15761       -1.13857        0.15969       -0.14314           6.18231              0.0        100001.0
  33  sol3d      6.78000        1.09812        0.85058        0.28358        0.28460        0.79774        0.89645        3.48625       13.97258        0.00511           0.11208             0.18665             0.22930             0.11219             0.18668             0.22962             2.33288             4.68418             7.51875         -0.03048        0.00312       -0.11740        1.42103        0.04837       -6.17151        1.50902        0.13880        1.51098        0.13968        0.54176           7.75770              0.0        100001.0
  34  drift      6.84000        1.09812        0.85054        0.26542        0.26647        0.74853        0.83755        3.64253       14.81674        0.00512           0.11208             0.18650             0.22912             0.11219             0.18655             0.22946             2.33285             4.68558             7.52099         -0.03046        0.00309       -0.10888        1.42092        0.04837       -6.67976        1.36180        0.12160        1.36436        0.12244        0.64657           8.46890              0.0        100001.0
  35  cav        7.20000        1.24698        0.36370        0.19544        0.19683        0.57925        0.61561        3.99253       17.20095        0.00359           0.11272             0.18835             0.23427             0.11277             0.18810             0.23780             2.33304             4.59967             6.90641         -0.03006        0.01935       -0.06685        0.66132        0.05167       -8.60583        0.15240        0.07004        0.15349        0.07100       -0.29899          11.60896              0.0        100001.0
  36  drift      7.86000        1.24699        0.36385        0.25413        0.25417        0.73453        0.72467        4.06584       20.47074        0.00359           0.11273             0.18848             0.23560             0.11277             0.18809             0.23838             2.33554             4.64029             7.10610         -0.02879        0.01910       -0.02322        0.66087        0.05167      -10.84910       -0.88574        0.11840       -0.87174        0.11839        0.35929          12.02631              0.0        100001.0
  37  drift      7.94000        1.24699        0.36385        0.26998        0.26978        0.77567        0.76046        4.16619       21.42728        0.00360           0.11273             0.18839             0.23608             0.11278             0.18827             0.23892             2.33561             4.64164             7.11908         -0.02864        0.01908       -0.01793        0.66084        0.05167      -11.12100       -1.01405        0.13362       -0.99838        0.13338        0.43786          12.62692              0.0        100001.0
  38  sol3d      8.34000        1.24699        0.36380        0.28184        0.28153        0.76460        0.78292        4.88933       26.70364        0.00366           0.11342             0.18854             0.23539             0.11217             0.18847             0.23618             2.33386             4.61530             7.11140         -0.01233        0.88589        0.02664        0.60073        0.05167      -12.45966        0.76502        0.14474        0.78236        0.14604        0.83420          17.40370              0.0        100001.0
  39  drift      8.40000        1.24699        0.36379        0.27319        0.27277        0.73883        0.76225        5.02434       27.50098        0.00367           0.11342             0.18855             0.23539             0.11217             0.18855             0.23628             2.33364             4.61881             7.10587         -0.00701        0.88589        0.03024        0.60075        0.05167      -12.66374        0.69484        0.13599        0.71162        0.13708        0.89524          18.37991              0.0        100001.0
  40  cav        8.76000        1.37056       -0.98575        0.25847        0.25746        0.71750        0.75066        4.67773       25.62279        0.00541           0.11437             0.19073             0.23576             0.11319             0.18976             0.23810             2.31179             4.28571             5.93589          0.02334        0.78163        0.05361        0.71042        0.05454      -11.62890       -0.46208        0.12742       -0.45251        0.12775       -1.81675          17.91665              0.0        100001.0
  41  drift      8.84000        1.37056       -0.98572        0.26654        0.26533        0.74871        0.77773        4.33845       23.74549        0.00540           0.11437             0.19067             0.23539             0.11319             0.18969             0.23771             2.31165             4.28339             5.91629          0.02960        0.78165        0.05929        0.71047        0.05454      -10.91637       -0.54473        0.13550       -0.53446        0.13567       -1.63538          15.41285              0.0        100001.0
  42  sol3d      9.24000        1.37056       -0.98560        0.28189        0.28120        0.85196        0.82121        2.87395       15.02771        0.00531           0.11426             0.19104             0.23939             0.11317             0.19047             0.23573             2.31065             4.26712             5.86144          0.07961        0.40000        0.05097        0.02930        0.05454       -7.34490        0.14800        0.15171        0.16188        0.15242       -0.75205           6.76643              0.0        100001.0
  43  drift      9.30000        1.37056       -0.98557        0.28051        0.27968        0.84946        0.82066        2.71048       13.89618        0.00530           0.11425             0.19088             0.23919             0.11317             0.19050             0.23548             2.31064             4.26663             5.86076          0.08202        0.40006        0.05115        0.02934        0.05454       -6.81083        0.10199        0.15023        0.11585        0.15077       -0.62251           6.01857              0.0        100001.0
  44  cav        9.66000        1.46286       -1.09813        0.29245        0.29090        0.90464        0.85755        2.10809        9.33432        0.00546           0.11445             0.19116             0.23776             0.11336             0.19104             0.23470             2.30863             4.23667             5.74854          0.09886        0.63809        0.05359        0.13244        0.05638       -3.45683       -0.65589        0.16852       -0.64347        0.16834       -0.13451           3.89366              0.0        100001.0
  45  drift      9.74000        1.46286       -1.09818        0.30195        0.30019        0.93374        0.88574        2.09276        8.85094        0.00546           0.11445             0.19122             0.23814             0.11336             0.19100             0.23494             2.30870             4.23367             5.75227          0.10397        0.63819        0.05465        0.13250        0.05638       -2.68867       -0.73178        0.17965       -0.71871        0.17926        0.05245           3.83713              0.0        100001.0
  46  sol3d     10.14000        1.46286       -1.09842        0.30676        0.30665        0.96006        0.83894        2.92943        8.34699        0.00550           0.11393             0.19032             0.24030             0.11381             0.19135             0.23889             2.30788             4.23703             5.76467          0.12160       -0.47345       -0.00101       -0.09157        0.05638        1.16732        0.55653        0.18626        0.56863        0.18632        0.99636           7.52120              0.0        100001.0
  47  drift     10.20000        1.46286       -1.09843        0.30146        0.30123        0.94126        0.82346        3.14154        9.66256        0.00551           0.11393             0.19037             0.24067             0.11381             0.19153             0.23911             2.30783             4.23159             5.76510          0.11876       -0.47336       -0.00156       -0.09157        0.05638        1.74351        0.50935        0.17987        0.52103        0.17979        1.14014           8.64997              0.0        100001.0
  48  cav       10.56000        1.61924       -0.51397        0.28636        0.28588        0.88725        0.77638        4.07761       15.89395        0.00294           0.11328             0.19005             0.23966             0.11316             0.18952             0.23169             2.34926             4.72572             6.77037          0.10386       -0.22203       -0.00440       -0.10039        0.05914        4.42968       -0.30916        0.17124       -0.30194        0.17084        0.54060          15.75298              0.0        100001.0
  49  drift     10.64000        1.61924       -0.51397        0.29086        0.29028        0.89770        0.79023        4.17502       16.82819        0.00295           0.11329             0.19010             0.23972             0.11317             0.18948             0.23192             2.34928             4.72562             6.77994          0.10209       -0.22195       -0.00521       -0.10040        0.05914        4.77071       -0.36604        0.17666       -0.35873        0.17614        0.60147          16.51447              0.0        100001.0
  50  sol3d     11.04000        1.61924       -0.51400        0.27337        0.27484        0.80082        0.77462        4.76843       21.52389        0.00299           0.11281             0.18932             0.23964             0.11375             0.18955             0.23401             2.34937             4.71883             6.83889          0.06446       -0.93863       -0.03721        0.50987        0.05914        6.48888        0.80195        0.15672        0.81124        0.15709        0.91083          21.54178              0.0        100001.0
  51  drift     11.10000        1.61924       -0.51401        0.26522        0.26656        0.77737        0.74996        4.87068       22.23086        0.00300           0.11281             0.18945             0.23951             0.11375             0.18945             0.23389             2.34927             4.71364             6.84127          0.05883       -0.93859       -0.03415        0.50985        0.05914        6.74494        0.73528        0.14751        0.74417        0.14777        0.95865          22.47651              0.0        100001.0
  52  cav       11.46000        1.77587       -0.06713        0.23246        0.23347        0.67131        0.65258        5.04700       24.57554        0.00249           0.11322             0.19114             0.24631             0.11413             0.19135             0.24437             2.51655             6.19079            10.40469          0.02558       -0.82881       -0.01685        0.34660        0.06180        7.52506        0.02467        0.11798        0.02852        0.11806       -0.68839          24.59790              0.0        100001.0
  53  drift     11.54000        1.77587       -0.06713        0.23266        0.23362        0.67150        0.65928        4.96014       24.61089        0.00248           0.11321             0.19113             0.24599             0.11413             0.19131             0.24402             2.51547             6.17977            10.35138          0.01895       -0.82880       -0.01407        0.34659        0.06180        7.56827       -0.04807        0.11819       -0.04416        0.11821       -0.64348          23.76870              0.0        100001.0
  54  sol3d     11.94000        1.77587       -0.06716        0.21758        0.21866        0.64106        0.62178        4.59544       24.80100        0.00244           0.11302             0.19090             0.23452             0.11426             0.19081             0.23792             2.50915             6.10220            10.10298         -0.01690       -0.66199        0.00508        0.71947        0.06180        7.79023        0.37498        0.10355        0.38353        0.10344       -0.42260          20.45332              0.0        100001.0
  55  drift     12.00000        1.77587       -0.06716        0.21327        0.21420        0.63489        0.60363        4.55215       24.83204        0.00243           0.11302             0.19107             0.23445             0.11426             0.19068             0.23775             2.50828             6.09131            10.06828         -0.02087       -0.66201        0.00940        0.71948        0.06180        7.82277        0.30501        0.09948        0.31314        0.09927       -0.38958          20.07689              0.0        100001.0
  56  cav       12.36000        1.93448        0.38332        0.20671        0.20729        0.61339        0.60696        4.14471       24.06625        0.00351           0.11268             0.19016             0.23305             0.11394             0.19050             0.23695             2.58149             6.78930            13.28631         -0.04408       -0.67338        0.03583        0.74075        0.06436        7.49459       -0.29724        0.09762       -0.29207        0.09709       -1.09912          17.53694              0.0        100001.0
  57  drift     12.44000        1.93448        0.38334        0.21249        0.21304        0.62759        0.62634        3.99163       23.51678        0.00350           0.11268             0.19022             0.23340             0.11394             0.19051             0.23725             2.58047             6.78211            13.22049         -0.04947       -0.67342        0.04175        0.74077        0.06436        7.26425       -0.39209        0.10315       -0.38710        0.10254       -1.01674          16.27195              0.0        100001.0
  58  sol3d     12.84000        1.93448        0.38353        0.23305        0.23302        0.65207        0.70349        3.33639       20.78144        0.00344           0.11295             0.19165             0.23926             0.11372             0.19167             0.23989             2.57839             6.73586            13.00359         -0.04138       -0.16357        0.08518        0.38601        0.06436        6.11649       -0.08943        0.12378       -0.08839        0.12291       -0.61534          11.37735              0.0        100001.0
  59  drift     12.90000        1.93448        0.38356        0.23437        0.23434        0.66050        0.70654        3.25805       20.37318        0.00344           0.11295             0.19154             0.23912             0.11372             0.19154             0.23972             2.57862             6.74062            12.98771         -0.04236       -0.16360        0.08750        0.38605        0.06436        5.94346       -0.14280        0.12519       -0.14207        0.12431       -0.55630          10.84838              0.0        100001.0
  60  cav       13.26000        2.09321        0.76270        0.25354        0.25394        0.74201        0.78200        2.82914       17.51886        0.00376           0.11233             0.18954             0.23516             0.11313             0.18934             0.23697             2.57399             6.74027            13.37355         -0.04865       -0.23971        0.10187        0.40616        0.06682        4.64870       -0.69375        0.15295       -0.69734        0.15236       -0.61418           8.83383              0.0        100001.0
  61  drift     13.34000        2.09321        0.76275        0.26313        0.26364        0.77515        0.81377        2.72278       16.61857        0.00375           0.11233             0.18942             0.23473             0.11313             0.18949             0.23656             2.57456             6.75388            13.37402         -0.05057       -0.23974        0.10512        0.40623        0.06682        4.20735       -0.77736        0.16475       -0.78148        0.16422       -0.52009           8.18028              0.0        100001.0
  62  sol3d     13.74000        2.09320        0.76257        0.29304        0.29278        0.83143        0.94897        2.43101       12.13273        0.00374           0.11279             0.18861             0.23085             0.11270             0.18882             0.23168             2.57620             6.77246            13.43742         -0.01456       -0.14636        0.11984       -0.25245        0.06682        2.00651       -0.13684        0.20350       -0.14007        0.20330       -0.05790           6.51690              0.0        100001.0
  63  drift     13.80000        2.09320        0.76253        0.29437        0.29414        0.83777        0.95176        2.42749       11.46214        0.00374           0.11278             0.18865             0.23062             0.11270             0.18887             0.23146             2.57640             6.76734            13.45396         -0.01544       -0.14636        0.11832       -0.25240        0.06682        1.67541       -0.17123        0.20537       -0.17452        0.20521        0.01105           6.49754              0.0        100001.0
  64  cav       14.16000        2.24391        0.86858        0.30993        0.31026        0.88335        0.98149        2.49459        9.21770        0.00342           0.11293             0.19034             0.22659             0.11286             0.18980             0.23548             2.59641             6.74540            12.79963         -0.02033       -0.13071        0.11079       -0.10000        0.06915       -0.30961       -0.78743        0.23528       -0.79900        0.23593        0.01904           7.29135              0.0        100001.0
  65  drift     14.24000        2.24391        0.86863        0.31845        0.31888        0.90471        1.00372        2.50598        8.95843        0.00342           0.11293             0.19017             0.22666             0.11285             0.18986             0.23586             2.59614             6.74310            12.81959         -0.02138       -0.13072        0.10999       -0.09993        0.06915       -0.79526       -0.84809        0.24840       -0.86014        0.24923        0.09855           7.35886              0.0        100001.0
  66  sol3d     14.64000        2.24391        0.86850        0.31778        0.31628        0.88947        0.98152        2.77114        8.70758        0.00343           0.11339             0.18980             0.23174             0.11236             0.18919             0.23270             2.59324             6.72379            12.83166          0.01367       -0.40952        0.09306       -0.66322        0.06915       -3.21173        0.93045        0.24634        0.92840        0.24626        0.49572           9.00858              0.0        100001.0
  67  drift     14.70000        2.24390        0.86845        0.31070        0.30924        0.86581        0.96069        2.83791        9.15459        0.00344           0.11339             0.18972             0.23193             0.11236             0.18911             0.23289             2.59320             6.72489            12.83376          0.01121       -0.40951        0.08908       -0.66317        0.06915       -3.57585        0.88132        0.23548        0.87932        0.23542        0.55574           9.44806              0.0        100001.0
  68  cav       15.06000        2.35909        0.59145        0.28315        0.28235        0.77926        0.87349        3.06154       11.10408        0.00265           0.11379             0.19118             0.23631             0.11275             0.18999             0.23838             2.59138             6.69173            12.91840         -0.00411       -0.46205        0.06857       -0.41579        0.07101       -5.36622        0.04496        0.20011        0.03246        0.20083       -0.10237          11.60022              0.0        100001.0
  69  drift     15.71000        2.35909        0.59149        0.29570        0.29587        0.84330        0.87564        3.18457       14.87993        0.00266           0.11382             0.19127             0.23731             0.11278             0.19010             0.23882             2.59386             6.72453            12.95671         -0.03415       -0.46213        0.04155       -0.41552        0.07101       -7.98865       -0.32029        0.21819       -0.33176        0.22045        0.31496          12.53928              0.0        100001.0
  70  drift     15.81500        2.35909        0.59147        0.30066        0.30094        0.86667        0.88721        3.24734       15.68998        0.00267           0.11383             0.19112             0.23712             0.11279             0.19012             0.23855             2.59422             6.73011            12.96746         -0.03900       -0.46215        0.03719       -0.41549        0.07101       -8.41222       -0.37956        0.22556       -0.39090        0.22806        0.38274          13.03667              0.0        100001.0
  71  sol3d     16.31500        2.35909        0.59140        0.26274        0.26125        0.74492        0.77920        3.67932       20.58128        0.00270           0.11374             0.19221             0.23789             0.11278             0.19165             0.23573             2.59129             6.71183            12.90737         -0.03515       -0.40016        0.03321       -0.55997        0.07101      -10.41717        1.32003        0.17239        1.30721        0.17188        0.71215          16.75468              0.0        100001.0
  72  drift     16.47000        2.35908        0.59138        0.23290        0.23179        0.67941        0.68610        3.85225       22.29741        0.00271           0.11374             0.19220             0.23728             0.11278             0.19166             0.23603             2.59012             6.69833            12.85669         -0.04135       -0.40020        0.02453       -0.55993        0.07101      -11.04142        1.06610        0.13545        1.05554        0.13531        0.81789          18.37489              0.0        100001.0
  73  cav       16.83000        2.56395       -0.39882        0.19735        0.19656        0.60656        0.57567        3.48683       21.83142        0.00288           0.11408             0.19168             0.23693             0.11312             0.19098             0.23519             2.50189             5.91604            10.25310         -0.05757       -0.46880        0.01214       -0.70594        0.07440      -10.31210        0.18863        0.10160        0.20462        0.10164       -0.99780          17.10699              0.0        100001.0
  74  drift     17.07000        2.56395       -0.39880        0.19464        0.19315        0.60513        0.53548        3.18541       20.89037        0.00285           0.11407             0.19168             0.23723             0.11312             0.19123             0.23579             2.49981             5.90046            10.15569         -0.06882       -0.46889       -0.00481       -0.70593        0.07440       -9.68113       -0.06982        0.09883       -0.05520        0.09814       -0.79780          14.28911              0.0        100001.0
