n_el  name       dist[m]     Energy[MeV/u] (W-Wtmp)/Wtmp,%   x_rms[cm]      y_rms[cm]      Xmax[cm]       Ymax[cm]     phi_rms[deg]   phi_max[deg]   DW/W[rel.u.]   4*exn_rms[cm*mrad]   exn99.5[cm*mrad]    exn_max[cm*mrad]   4*eyn_rms[cm*mrad]   eyn99.5[cm*mrad]    eyn_max[cm*mrad]   4*ezn_rms[keV/u*ns]  ezn99.5[keV/u*ns]    ezn_max[keV/u*ns]     Xc[cm]       X'c[mrad]        Yc[cm]       Y'c[mrad]        btgm          Zc[deg]          a_x        b_x[cm/mrad]       a_y        b_y[cm/mrad]       a_z        b_z[deg/(%ofD_W/W)]  #of_lost_part  total#of_part 
  16  drift      2.78000        0.67484       -0.24918        0.24073        0.24006        0.67422        0.66986        5.46031       23.62608        0.00454           0.11237             0.18816             0.22946             0.11329             0.18832             0.22607             2.25776             4.00041             5.66630         -0.01616        0.24773       -0.01359       -0.78341        0.03812        7.74735       -0.52894        0.07864       -0.51939        0.07756        0.17228          12.21737              0.0        100001.0
  17  sol3d      3.18000        0.67484       -0.24925        0.21664        0.21480        0.60697        0.62802        6.35565       29.03031        0.00464           0.11330             0.18787             0.22312             0.11232             0.18751             0.22979             2.25602             3.99254             5.56839         -0.01759        0.31524       -0.02515       -0.69017        0.03812        9.08472        0.80730        0.06316        0.80902        0.06264        0.67790          16.56524              0.0        100001.0
  18  drift      3.24000        0.67484       -0.24928        0.20120        0.19933        0.56673        0.58893        6.56517       29.90467        0.00466           0.11330             0.18793             0.22346             0.11232             0.18779             0.22929             2.25588             3.99612             5.56563         -0.01570        0.31522       -0.02929       -0.69021        0.03812        9.28069        0.64400        0.05448        0.64414        0.05394        0.75841          17.67646              0.0        100001.0
  19  cav        3.60000        0.76563        1.30066        0.19687        0.19545        0.54363        0.60465        6.02144       26.69497        0.00547           0.11248             0.18673             0.22661             0.11157             0.18677             0.23002             2.34243             4.80275             9.01079         -0.00744        0.12813       -0.05982       -1.09065        0.04029        6.65027       -0.60412        0.05553       -0.60813        0.05518       -1.05624          15.99835              0.0        100001.0
  20  drift      3.68000        0.76563        1.30072        0.21604        0.21473        0.59750        0.66133        5.65826       24.93884        0.00543           0.11249             0.18655             0.22612             0.11157             0.18659             0.23036             2.34134             4.78466             8.92660         -0.00642        0.12812       -0.06855       -1.09075        0.04029        5.40860       -0.81116        0.06687       -0.81715        0.06661       -0.91732          14.13335              0.0        100001.0
  21  sol3d      4.08000        0.76563        1.30075        0.24478        0.24241        0.72373        0.73828        4.40437       16.23740        0.00531           0.11244             0.18640             0.21878             0.11146             0.18623             0.22330             2.33818             4.73466             8.71944         -0.05035        0.45365       -0.06442        0.24731        0.04029       -0.77297        0.48117        0.08588        0.46702        0.08497       -0.26067           8.57496              0.0        100001.0
  22  drift      4.14000        0.76563        1.30072        0.23727        0.23514        0.69726        0.71694        4.32653       14.94469        0.00530           0.11244             0.18664             0.21855             0.11146             0.18613             0.22290             2.33837             4.73551             8.72101         -0.04763        0.45358       -0.06294        0.24723        0.04029       -1.70546        0.38770        0.08069        0.37356        0.07995       -0.16420           8.27388              0.0        100001.0
  23  cav        4.50000        0.84838        0.11759        0.26446        0.26363        0.75938        0.79677        3.02348       12.93374        0.00789           0.11290             0.18667             0.21884             0.11201             0.18740             0.22389             2.31744             4.58996             7.96868         -0.03801        0.03669       -0.06611       -0.48895        0.04266       -4.71874       -1.08513        0.10572       -1.09670        0.10589       -0.64926           4.57107              0.0        100001.0
  24  drift      4.58000        0.84838        0.11762        0.28702        0.28631        0.82137        0.86451        2.70345       12.06733        0.00786           0.11290             0.18668             0.21885             0.11202             0.18731             0.22460             2.31790             4.59790             8.01028         -0.03772        0.03663       -0.07002       -0.48906        0.04266       -4.81941       -1.26192        0.12452       -1.27520        0.12489       -0.36017           3.65388              0.0        100001.0
  25  sol3d      4.98000        0.84837        0.11743        0.29194        0.29185        0.85974        0.84267        3.71604       13.47727        0.00791           0.11213             0.18760             0.22990             0.11286             0.18716             0.22415             2.31898             4.61554             8.11168         -0.05332        1.10201       -0.03048        0.28540        0.04266       -5.27942        1.20907        0.12971        1.19266        0.12879        1.07590           6.90042              0.0        100001.0
  26  drift      5.04000        0.84837        0.11739        0.27601        0.27604        0.80583        0.79608        4.13033       14.60854        0.00793           0.11214             0.18755             0.22984             0.11287             0.18726             0.22400             2.31961             4.62603             8.14442         -0.04670        1.10195       -0.02876        0.28535        0.04266       -5.35485        1.08865        0.11594        1.07331        0.11521        1.29578           8.52251              0.0        100001.0
  27  cav        5.40000        0.94438       -0.83481        0.24165        0.24274        0.68341        0.67424        5.00523       16.40024        0.00391           0.11317             0.19043             0.23195             0.11392             0.18902             0.22967             2.27712             4.01886             6.34891         -0.01720        0.50667       -0.02429       -0.12255        0.04523       -3.79019       -0.35839        0.09335       -0.36726        0.09358       -0.50370          14.32795              0.0        100001.0
  28  drift      5.48000        0.94438       -0.83479        0.25006        0.25135        0.70759        0.70189        4.86363       15.68935        0.00389           0.11317             0.19020             0.23139             0.11391             0.18901             0.22966             2.27698             4.01660             6.34534         -0.01315        0.50665       -0.02527       -0.12259        0.04523       -3.06336       -0.46364        0.09997       -0.47281        0.10034       -0.41711          13.52959              0.0        100001.0
  29  sol3d      5.88000        0.94438       -0.83482        0.24571        0.24701        0.68915        0.70535        4.52880       13.48435        0.00386           0.11280             0.18909             0.22325             0.11411             0.18935             0.22462             2.27531             4.01166             6.25843         -0.00609        0.53346       -0.02016       -0.12725        0.04523        0.58970        0.53843        0.09683        0.52756        0.09673        0.00469          11.73943              0.0        100001.0
  30  drift      5.94000        0.94438       -0.83483        0.23807        0.23949        0.66652        0.68063        4.53853       13.93031        0.00386           0.11280             0.18899             0.22313             0.11411             0.18940             0.22467             2.27524             4.00518             6.23860         -0.00289        0.53345       -0.02092       -0.12728        0.04523        1.13492        0.45235        0.09090        0.44216        0.09093        0.06812          11.79033              0.0        100001.0
  31  cav        6.30000        1.08684       -0.18584        0.22504        0.22754        0.64433        0.64777        4.28786       15.78669        0.00386           0.11221             0.18769             0.22424             0.11352             0.18792             0.22451             2.29258             4.38407             6.70347          0.01715        0.63990       -0.02572       -0.23176        0.04837        3.25484       -0.31411        0.08731       -0.32327        0.08824       -0.39456          11.94159              0.0        100001.0
  32  drift      6.38000        1.08684       -0.18583        0.23255        0.23524        0.66628        0.67109        4.18545       16.06693        0.00385           0.11222             0.18771             0.22453             0.11352             0.18810             0.22500             2.29270             4.38708             6.72865          0.02227        0.63991       -0.02757       -0.23179        0.04837        3.40704       -0.42330        0.09324       -0.43192        0.09431       -0.30667          11.37739              0.0        100001.0
  33  sol3d      6.78000        1.08684       -0.18584        0.20976        0.21040        0.56598        0.61308        4.04741       17.63882        0.00383           0.11292             0.18808             0.23106             0.11291             0.18757             0.22436             2.29201             4.37071             6.81857          0.00589        0.04774       -0.04565        0.31603        0.04837        4.18982        0.76994        0.07538        0.76897        0.07585        0.12598          10.64254              0.0        100001.0
  34  drift      6.84000        1.08684       -0.18587        0.19769        0.19838        0.54183        0.58341        4.08423       17.88414        0.00384           0.11292             0.18786             0.23078             0.11291             0.18743             0.22420             2.29180             4.37093             6.81892          0.00617        0.04775       -0.04375        0.31599        0.04837        4.30455        0.63727        0.06696        0.63718        0.06743        0.19213          10.83803              0.0        100001.0
