n_el  name       dist[m]     Energy[MeV/u] (W-Wtmp)/Wtmp,%   x_rms[cm]      y_rms[cm]      Xmax[cm]       Ymax[cm]     phi_rms[deg]   phi_max[deg]   DW/W[rel.u.]   4*exn_rms[cm*mrad]   exn99.5[cm*mrad]    exn_max[cm*mrad]   4*eyn_rms[cm*mrad]   eyn99.5[cm*mrad]    eyn_max[cm*mrad]   4*ezn_rms[keV/u*ns]  ezn99.5[keV/u*ns]    ezn_max[keV/u*ns]     Xc[cm]       X'c[mrad]        Yc[cm]       Y'c[mrad]        btgm          Zc[deg]          a_x        b_x[cm/mrad]       a_y        b_y[cm/mrad]       a_z        b_z[deg/(%ofD_W/W)]  #of_lost_part  total#of_part 
  10  drift      1.44000        0.54777       -0.39903        0.22758        0.22883        0.64757        0.64787        5.36974       20.32771        0.00666           0.11255             0.18742             0.22912             0.11345             0.18698             0.22692             2.25756             3.98084             5.40142          0.01683        0.07089        0.02608       -0.31186        0.03437        4.42867        0.75524        0.06326        0.76231        0.06345        0.64773           9.60581              0.0        100001.0
  11  cav        1.80000        0.60938        0.16899        0.21855        0.21885        0.62446        0.61615        5.37043       20.76100        0.00554           0.11226             0.18736             0.23332             0.11315             0.18759             0.22629             2.28711             4.31895             6.84462          0.02118        0.17105        0.01677       -0.26569        0.03615        4.70634       -0.59132        0.06152       -0.57991        0.06120       -0.41595          10.49105              0.0        100001.0
  12  drift      1.88000        0.60938        0.16904        0.23728        0.23739        0.68811        0.65357        5.17551       20.54478        0.00552           0.11225             0.18718             0.23252             0.11315             0.18730             0.22567             2.28662             4.32536             6.80088          0.02254        0.17110        0.01465       -0.26565        0.03615        4.53032       -0.77956        0.07252       -0.76721        0.07201       -0.28200           9.74543              0.0        100001.0
  13  sol3d      2.28000        0.60938        0.16905        0.24009        0.24027        0.68132        0.67634        5.29277       21.66496        0.00553           0.11216             0.18733             0.22461             0.11312             0.18776             0.22513             2.28230             4.28224             6.69101          0.01953       -0.21450       -0.01152        0.01937        0.03615        3.69176        0.72824        0.07431        0.73514        0.07379        0.36927          10.21135              0.0        100001.0
  14  drift      2.34000        0.60938        0.16903        0.22692        0.22687        0.64568        0.63988        5.46627       22.14594        0.00554           0.11216             0.18736             0.22519             0.11312             0.18777             0.22542             2.28222             4.28197             6.70105          0.01825       -0.21447       -0.01141        0.01935        0.03615        3.55956        0.59691        0.06638        0.60220        0.06579        0.46971          10.89215              0.0        100001.0
  15  cav        2.70000        0.68141        0.72169        0.23182        0.23122        0.64027        0.63789        4.91688       17.96741        0.00604           0.11178             0.18719             0.22526             0.11270             0.18657             0.22158             2.26959             4.21356             6.55297          0.01758        0.17700       -0.01086       -0.03105        0.03812        1.26564       -0.70093        0.07331       -0.69146        0.07233       -0.68300           9.85491              0.0        100001.0
  16  drift      2.78000        0.68141        0.72172        0.25102        0.25039        0.69439        0.68574        4.60401       16.12886        0.00601           0.11178             0.18707             0.22484             0.11270             0.18671             0.22148             2.26991             4.20988             6.55744          0.01900        0.17703       -0.01111       -0.03107        0.03812        0.53682       -0.87575        0.08595       -0.86689        0.08483       -0.52109           8.63940              0.0        100001.0
  17  sol3d      3.18000        0.68141        0.72180        0.24924        0.24716        0.68036        0.70361        4.24424       13.79990        0.00598           0.11272             0.18651             0.22177             0.11175             0.18635             0.22616             2.26931             4.20371             6.63046          0.00539       -0.02679       -0.01163        0.31028        0.03812       -3.06580        0.88688        0.08403        0.88561        0.08336        0.26444           7.34389              0.0        100001.0
  18  drift      3.24000        0.68141        0.72176        0.23425        0.23220        0.64034        0.65744        4.38506       14.84181        0.00599           0.11272             0.18640             0.22217             0.11175             0.18639             0.22565             2.26925             4.20488             6.64279          0.00523       -0.02678       -0.00977        0.31026        0.03812       -3.61241        0.75160        0.07423        0.74946        0.07357        0.38387           7.83951              0.0        100001.0
  19  cav        3.60000        0.75955        0.49641        0.22391        0.22211        0.61161        0.61234        4.13315       16.61155        0.00592           0.11303             0.18751             0.22646             0.11204             0.18745             0.22721             2.27650             4.15472             6.03008         -0.00199       -0.37846        0.00005        0.18134        0.04029       -6.13468       -0.58559        0.07149       -0.58417        0.07097       -0.48397           7.75598              0.0        100001.0
  20  drift      3.68000        0.75955        0.49641        0.24008        0.23824        0.65544        0.66234        3.92246       16.43012        0.00590           0.11303             0.18747             0.22614             0.11204             0.18739             0.22797             2.27628             4.15419             6.01185         -0.00502       -0.37846        0.00150        0.18134        0.04029       -6.60845       -0.74790        0.08219       -0.74743        0.08165       -0.32066           6.98609              0.0        100001.0
  21  sol3d      4.08000        0.75955        0.49628        0.24010        0.23753        0.66220        0.66424        4.13092       19.68471        0.00591           0.11298             0.18748             0.21979             0.11194             0.18764             0.22180             2.27434             4.14314             6.03078         -0.00032        0.01170        0.01371       -0.07815        0.04029       -8.94373        0.76293        0.08223        0.74986        0.08123        0.48272           7.75497              0.0        100001.0
  22  drift      4.14000        0.75955        0.49623        0.22751        0.22516        0.62482        0.63075        4.33531       20.84599        0.00593           0.11298             0.18762             0.22021             0.11194             0.18748             0.22160             2.27412             4.13994             6.02611         -0.00025        0.01170        0.01324       -0.07813        0.04029       -9.29892        0.64012        0.07384        0.62708        0.07299        0.60621           8.54219              0.0        100001.0
  23  cav        4.50000        0.83745       -1.17190        0.23232        0.23119        0.64362        0.63938        4.01003       19.40922        0.00629           0.11373             0.18859             0.22032             0.11272             0.18822             0.22274             2.24874             3.83420             4.99896         -0.00752       -0.42965        0.00694       -0.32580        0.04266       -7.58793       -0.80036        0.08099       -0.80864        0.08092       -0.82925           8.28641              0.0        100001.0
  24  drift      4.58000        0.83745       -1.17183        0.25189        0.25087        0.69769        0.69106        3.66738       17.33079        0.00626           0.11373             0.18837             0.22084             0.11272             0.18818             0.22322             2.24865             3.83324             4.99120         -0.01096       -0.42966        0.00434       -0.32579        0.04266       -6.50165       -0.97380        0.09521       -0.98359        0.09528       -0.63077           6.93108              0.0        100001.0
  25  sol3d      4.98000        0.83745       -1.17154        0.26016        0.26015        0.74253        0.71492        3.28673       10.34916        0.00623           0.11287             0.18853             0.22796             0.11364             0.18842             0.22325             2.24869             3.84005             5.03944         -0.02521       -0.21551        0.01041       -0.04995        0.04266       -1.03794        0.87639        0.10233        0.86552        0.10164        0.33424           5.56688              0.0        100001.0
  26  drift      5.04000        0.83745       -1.17157        0.24735        0.24743        0.70737        0.67709        3.45090        9.75134        0.00624           0.11287             0.18831             0.22798             0.11364             0.18852             0.22310             2.24854             3.83899             5.03805         -0.02651       -0.21554        0.01011       -0.04992        0.04266       -0.22377        0.76531        0.09251        0.75489        0.09194        0.48021           6.13727              0.0        100001.0
  27  cav        5.40000        0.94055       -1.23743        0.23153        0.23254        0.67772        0.62837        3.75512       14.91022        0.00475           0.11313             0.18901             0.22994             0.11394             0.18870             0.22599             2.26055             3.91720             5.55631         -0.03774       -0.47000        0.00205       -0.48657        0.04523        4.50319       -0.51939        0.08573       -0.52630        0.08586       -0.23383           8.12375              0.0        100001.0
  28  drift      5.48000        0.94055       -1.23745        0.24387        0.24506        0.71685        0.66433        3.68554       15.99944        0.00474           0.11312             0.18917             0.22929             0.11394             0.18868             0.22569             2.26053             3.91738             5.54086         -0.04150       -0.47006       -0.00184       -0.48657        0.04523        5.58356       -0.64827        0.09511       -0.65563        0.09536       -0.11042           7.82555              0.0        100001.0
  29  sol3d      5.88000        0.94054       -1.23767        0.26001        0.26133        0.75404        0.73464        4.06864       22.75598        0.00477           0.11280             0.18865             0.22116             0.11417             0.18875             0.22232             2.25987             3.91014             5.56208         -0.04353        0.16148        0.01273       -0.47752        0.04523       11.00414        0.37984        0.10843        0.37005        0.10822        0.50174           9.53976              0.0        100001.0
  30  drift      5.94000        0.94054       -1.23772        0.25503        0.25645        0.73900        0.71842        4.22053       23.99296        0.00479           0.11280             0.18859             0.22135             0.11417             0.18861             0.22215             2.25991             3.90905             5.56844         -0.04256        0.16143        0.00987       -0.47751        0.04523       11.81423        0.31006        0.10431        0.30059        0.10422        0.59537          10.26516              0.0        100001.0
  31  cav        6.30000        1.08785       -0.09238        0.24539        0.24788        0.71808        0.68979        4.99870       29.35109        0.00358           0.11205             0.18768             0.22132             0.11339             0.18713             0.22465             2.32348             4.66044             7.38580         -0.03659        0.10077       -0.00632       -0.50752        0.04837       14.24402       -0.26584        0.10397       -0.27524        0.10483        0.56142          16.01337              0.0        100001.0
  32  drift      6.38000        1.08785       -0.09238        0.25122        0.25389        0.72875        0.71264        5.14840       30.20400        0.00359           0.11205             0.18766             0.22103             0.11339             0.18729             0.22511             2.32310             4.65023             7.36961         -0.03579        0.10072       -0.01038       -0.50753        0.04837       14.32035       -0.35567        0.10897       -0.36477        0.10998        0.63800          16.98960              0.0        100001.0
  33  sol3d      6.78000        1.08785       -0.09244        0.21240        0.21276        0.61665        0.58402        6.08069       34.54237        0.00368           0.11276             0.18749             0.22976             0.11272             0.18687             0.22300             2.32041             4.59504             7.21356         -0.03886       -0.00201       -0.00985       -0.66697        0.04837       14.72730        0.99280        0.07740        0.99081        0.07769        1.03058          23.72723              0.0        100001.0
  34  drift      6.84000        1.08785       -0.09246        0.19681        0.19723        0.57386        0.55396        6.24373       35.31069        0.00370           0.11276             0.18745             0.22972             0.11272             0.18688             0.22274             2.31994             4.58676             7.17802         -0.03888       -0.00204       -0.01385       -0.66698        0.04837       14.78571        0.83442        0.06645        0.83329        0.06676        1.09308          25.02174              0.0        100001.0
  35  cav        7.20000        1.25291        0.84091        0.15515        0.15571        0.48315        0.47637        6.59491       37.05412        0.00256           0.11225             0.18662             0.23068             0.11225             0.18625             0.22413             2.74597             8.55081            19.47792         -0.03887        0.00091       -0.03644       -0.77661        0.05167       13.27605       -0.20304        0.04432       -0.19901        0.04464       -0.30831          26.91161              0.0        100001.0
  36  drift      7.86000        1.25292        0.84117        0.31122        0.31023        0.88475        0.90961        6.38105       36.15048        0.00250           0.11225             0.18662             0.23182             0.11224             0.18639             0.22538             2.71171             8.15458            18.20218         -0.03883        0.00058       -0.08771       -0.77710        0.05167        8.09054       -1.83515        0.17833       -1.81712        0.17722        0.01395          25.51286              0.0        100001.0
  37  drift      7.94000        1.25292        0.84118        0.33719        0.33603        0.95436        0.98847        6.38702       36.04522        0.00250           0.11225             0.18673             0.23168             0.11223             0.18632             0.22529             2.70978             8.11514            18.11415         -0.03882        0.00054       -0.09393       -0.77719        0.05167        7.46195       -2.03717        0.20933       -2.01740        0.20792        0.04921          25.57887              0.0        100001.0
  38  sol3d      8.34000        1.25292        0.84120        0.36576        0.36426        1.06303        1.04198        6.50723       35.53140        0.00250           0.11288             0.18684             0.22510             0.11157             0.18569             0.22783             2.70336             8.03776            17.78266         -0.07676        0.99716       -0.05679        0.41055        0.05167        4.35357        1.24186        0.24494        1.25584        0.24579        0.22016          26.61374              0.0        100001.0
  39  drift      8.40000        1.25292        0.84120        0.35478        0.35324        1.02555        1.00888        6.53902       35.45517        0.00251           0.11287             0.18693             0.22494             0.11156             0.18552             0.22791             2.70295             8.01948            17.74221         -0.07078        0.99710       -0.05433        0.41051        0.05167        3.88128        1.17595        0.23045        1.18926        0.23114        0.24614          26.87855              0.0        100001.0
  40  cav        8.76000        1.39899        1.06780        0.31151        0.31008        0.88973        0.89884        5.94490       32.74086        0.00535           0.11429             0.19119             0.25189             0.11300             0.19097             0.25062             3.08957            14.15068            55.93154         -0.03865        0.69126       -0.04085        0.23206        0.05454        0.79617        0.01819        0.18522        0.02340        0.18561       -1.67382          21.65337              0.0        100001.0
  41  drift      8.84000        1.39899        1.06779        0.31161        0.31010        0.88796        0.90848        5.62604       31.52315        0.00534           0.11430             0.19116             0.25153             0.11301             0.19111             0.25015             3.08728            14.08781            55.68305         -0.03312        0.69122       -0.03900        0.23202        0.05454        0.04061       -0.03025        0.18533       -0.02499        0.18564       -1.54702          19.40726              0.0        100001.0
  42  sol3d      9.24000        1.39898        1.06773        0.28094        0.28009        0.81581        0.82567        4.18802       25.44079        0.00527           0.11407             0.19155             0.23677             0.11301             0.19181             0.24372             3.07721            13.88722            54.45969         -0.01483        0.95148       -0.02278        0.12854        0.05454       -3.72576        0.82951        0.15094        0.84070        0.15143       -0.91987          10.78934              0.0        100001.0
  43  drift      9.30000        1.39898        1.06773        0.27195        0.27103        0.78689        0.80401        4.00582       24.52946        0.00526           0.11407             0.19149             0.23641             0.11300             0.19174             0.24332             3.07681            13.84005            54.27471         -0.00912        0.95147       -0.02201        0.12852        0.05454       -4.29208        0.75764        0.14143        0.76828        0.14180       -0.82638           9.87225              0.0        100001.0
  44  cav        9.66000        1.49050        0.77057        0.24018        0.23897        0.70722        0.71759        2.95701       18.27050        0.00615           0.11446             0.19268             0.24085             0.11340             0.19281             0.24593             3.08772            14.02692            61.25294          0.02479        0.92257       -0.01890       -0.01020        0.05638       -7.16182        0.00921        0.11365        0.01556        0.11356       -0.64617           5.72797              0.0        100001.0
  45  drift      9.74000        1.49050        0.77062        0.24071        0.23940        0.71721        0.72170        2.75416       16.61204        0.00614           0.11446             0.19284             0.24015             0.11340             0.19268             0.24545             3.08941            14.07120            61.17913          0.03217        0.92259       -0.01898       -0.01021        0.05638       -7.68920       -0.06885        0.11416       -0.06260        0.11397       -0.47354           4.96634              0.0        100001.0
  46  sol3d     10.14000        1.49050        0.76998        0.22517        0.22471        0.67266        0.66257        2.67176       15.93229        0.00614           0.11399             0.19113             0.24985             0.11396             0.19218             0.24419             3.09652            14.23080            61.87305          0.04672        0.55170       -0.03870       -0.12452        0.05638      -10.31780        0.38154        0.10030        0.38550        0.09992        0.38388           4.66287              0.0        100001.0
  47  drift     10.20000        1.49050        0.76998        0.22050        0.21998        0.65880        0.64838        2.80113       16.57498        0.00615           0.11400             0.19133             0.25043             0.11397             0.19234             0.24470             3.09770            14.22309            62.10958          0.05003        0.55173       -0.03945       -0.12454        0.05638      -10.71290        0.30709        0.09618        0.31062        0.09575        0.51366           5.12342              0.0        100001.0
  48  cav       10.56000        1.61654       -0.67944        0.22837        0.22787        0.69107        0.66100        3.36550       17.97202        0.00411           0.11499             0.19345             0.25288             0.11496             0.19440             0.24956             3.06580            14.32124            56.16172          0.07215        0.73232       -0.04769       -0.43783        0.05914      -11.00874       -0.66489        0.10729       -0.66383        0.10685        0.08698           8.22315              0.0        100001.0
  49  drift     10.64000        1.61654       -0.67936        0.24038        0.23989        0.72954        0.69832        3.40087       17.48678        0.00411           0.11499             0.19358             0.25272             0.11496             0.19446             0.24963             3.06601            14.35979            56.31289          0.07800        0.73237       -0.05120       -0.43786        0.05914      -10.55674       -0.77945        0.11887       -0.77872        0.11842        0.17372           8.39633              0.0        100001.0
  50  sol3d     11.04000        1.61655       -0.67923        0.27024        0.27132        0.78442        0.80799        3.88940       16.95459        0.00414           0.11445             0.19315             0.24923             0.11553             0.19461             0.24855             3.06484            14.38079            56.61730          0.05472        0.09766       -0.08995        0.23046        0.05914       -8.28811        0.05512        0.15095        0.05571        0.15074        0.60761          10.98599              0.0        100001.0
  51  drift     11.10000        1.61655       -0.67923        0.26990        0.27097        0.78277        0.80771        4.00076       17.20707        0.00415           0.11445             0.19321             0.24898             0.11552             0.19465             0.24828             3.06419            14.34480            56.69881          0.05531        0.09769       -0.08857        0.23040        0.05914       -7.94954        0.01092        0.15058        0.01148        0.15036        0.67367          11.62655              0.0        100001.0
  52  cav       11.46000        1.75026       -1.50848        0.29149        0.29302        0.87145        0.89213        4.12390       17.50178        0.00347           0.11594             0.19809             0.25429             0.11709             0.19863             0.24891             2.92475            12.90442            57.60904          0.06347        0.49508       -0.08722       -0.39525        0.06180       -4.98187       -0.99905        0.18114       -1.00517        0.18127       -0.64558          14.13079              0.0        100001.0
  53  drift     11.54000        1.75026       -1.50845        0.30467        0.30635        0.92034        0.94126        4.00732       17.10444        0.00347           0.11593             0.19809             0.25396             0.11708             0.19866             0.24863             2.92303            12.88813            57.53632          0.06743        0.49512       -0.09038       -0.39531        0.06180       -4.01797       -1.09296        0.19792       -1.09952        0.19815       -0.57711          13.35095              0.0        100001.0
  54  sol3d     11.94000        1.75026       -1.50850        0.33097        0.33288        0.95776        1.06216        3.58995       17.36715        0.00344           0.11573             0.19862             0.26169             0.11705             0.19840             0.25766             2.91508            12.72681            56.81610          0.03388        0.09437       -0.11499        0.34225        0.06180        0.81309        0.27448        0.23398        0.27486        0.23403       -0.23997          10.74397              0.0        100001.0
  55  drift     12.00000        1.75026       -1.50851        0.32877        0.33067        0.95335        1.05686        3.55513       17.57136        0.00343           0.11573             0.19851             0.26189             0.11704             0.19833             0.25757             2.91432            12.75276            56.67894          0.03445        0.09439       -0.11294        0.34219        0.06180        1.53572        0.24290        0.23089        0.24330        0.23094       -0.19007          10.53930              0.0        100001.0
  56  cav       12.36000        1.90856       -0.96168        0.32389        0.32617        0.94419        1.04047        3.26536       17.09761        0.00379           0.11538             0.19784             0.25429             0.11668             0.19819             0.25606             2.84064            11.63842            44.25256          0.03777        0.15579       -0.10085        0.06734        0.06436        5.22526       -0.43675        0.23407       -0.44362        0.23472       -0.56366           9.89197              0.0        100001.0
  57  drift     12.44000        1.90856       -0.96174        0.32896        0.33134        0.96242        1.05441        3.15784       16.53006        0.00378           0.11538             0.19779             0.25390             0.11668             0.19814             0.25633             2.84081            11.65533            44.14899          0.03902        0.15581       -0.10031        0.06727        0.06436        5.81305       -0.48302        0.24145       -0.48996        0.24221       -0.47861           9.25069              0.0        100001.0
  58  sol3d     12.84000        1.90856       -0.96178        0.32051        0.32124        0.89527        0.99493        2.86200       14.74416        0.00377           0.11569             0.19800             0.25319             0.11633             0.19834             0.25826             2.84242            11.69559            43.96836          0.00520        0.13239       -0.09675        0.50064        0.06436        8.76257        0.79836        0.22859        0.79597        0.22836       -0.05780           7.59429              0.0        100001.0
  59  drift     12.90000        1.90856       -0.96176        0.31394        0.31466        0.87520        0.96688        2.85733       15.24789        0.00378           0.11569             0.19818             0.25342             0.11633             0.19846             0.25842             2.84274            11.69679            43.97291          0.00599        0.13239       -0.09375        0.50059        0.06436        9.20352        0.75129        0.21930        0.74897        0.21910        0.00521           7.56867              0.0        100001.0
  60  cav       13.26000        2.06895       -0.40516        0.27926        0.28035        0.75022        0.83253        2.90989       17.68402        0.00346           0.11495             0.19686             0.24919             0.11555             0.19745             0.25511             2.85598            12.45567            48.65496          0.01069        0.18181       -0.07467        0.33913        0.06682       11.11253        0.23299        0.18135        0.22719        0.18180       -0.01459           8.42254              0.0        100001.0
  61  drift     13.34000        2.06895       -0.40520        0.27672        0.27787        0.73696        0.81718        2.91428       18.04947        0.00346           0.11495             0.19689             0.24954             0.11555             0.19747             0.25545             2.85638            12.44154            48.79037          0.01215        0.18182       -0.07195        0.33908        0.06682       11.35046        0.18104        0.17806        0.17548        0.17860        0.05906           8.44682              0.0        100001.0
  62  sol3d     13.74000        2.06894       -0.40531        0.24740        0.24704        0.64590        0.69492        3.15130       19.90474        0.00347           0.11545             0.19682             0.24633             0.11513             0.19636             0.24668             2.85742            12.48583            49.54695         -0.00279        0.26963       -0.05771        0.48762        0.06682       12.54602        0.68804        0.14170        0.68138        0.14168        0.42946           9.87305              0.0        100001.0
  63  drift     13.80000        2.06894       -0.40532        0.24046        0.24017        0.63953        0.67789        3.21498       20.20097        0.00348           0.11545             0.19681             0.24633             0.11513             0.19617             0.24645             2.85738            12.46584            49.66471         -0.00118        0.26963       -0.05479        0.48760        0.06682       12.72471        0.62175        0.13386        0.61546        0.13391        0.48585          10.27624              0.0        100001.0
  64  cav       14.16000        2.23026        0.25498        0.20783        0.20820        0.59302        0.61631        3.63541       21.57860        0.00286           0.11538             0.19778             0.24538             0.11504             0.19715             0.24706             2.87879            12.30331            57.22470          0.00900        0.27079       -0.03592        0.45193        0.06915       13.25724        0.15707        0.10355        0.15141        0.10423        0.45649          13.96624              0.0        100001.0
  65  drift     14.24000        2.23026        0.25501        0.20599        0.20646        0.58841        0.61607        3.70568       21.61526        0.00287           0.11537             0.19768             0.24495             0.11503             0.19710             0.24669             2.87895            12.31796            57.29284          0.01117        0.27080       -0.03230        0.45190        0.06915       13.11460        0.07302        0.10174        0.06798        0.10250        0.51110          14.51060              0.0        100001.0
  66  sol3d     14.64000        2.23026        0.25501        0.18751        0.18734        0.55944        0.57171        4.14583       21.82228        0.00291           0.11575             0.19734             0.24823             0.11459             0.19723             0.25951             2.88179            12.22375            57.12032          0.01546        0.47495       -0.02159        0.50121        0.06915       12.40596        0.34316        0.08402        0.33996        0.08472        0.78918          18.14439              0.0        100001.0
  67  drift     14.70000        2.23026        0.25502        0.18344        0.18335        0.54984        0.55819        4.22336       21.85655        0.00292           0.11575             0.19722             0.24808             0.11458             0.19732             0.25963             2.88216            12.21001            57.05614          0.01831        0.47495       -0.01858        0.50120        0.06915       12.29910        0.25998        0.08042        0.25756        0.08115        0.83214          18.82704              0.0        100001.0
  68  cav       15.06000        2.37373        1.21597        0.18399        0.18411        0.54928        0.52584        4.48602       20.80306        0.00211           0.11518             0.19592             0.24706             0.11401             0.19573             0.25856             2.98190            11.86849            54.69349          0.03583        0.54905       -0.00054        0.43133        0.07101       10.77363       -0.38085        0.08348       -0.38211        0.08444       -0.18530          21.64442              0.0        100001.0
  69  drift     15.71000        2.37374        1.21611        0.28046        0.27942        0.83647        0.79172        4.43781       15.52241        0.00210           0.11522             0.19602             0.24875             0.11404             0.19578             0.25966             2.98659            11.94089            54.77472          0.07152        0.54927        0.02750        0.43137        0.07101        5.40534       -1.31952        0.19390       -1.31170        0.19444        0.06957          21.14844              0.0        100001.0
  70  drift     15.81500        2.37374        1.21611        0.30094        0.29965        0.90660        0.86082        4.45144       14.68679        0.00210           0.11521             0.19622             0.24870             0.11404             0.19558             0.25939             2.98629            11.94725            54.80388          0.07729        0.54932        0.03203        0.43139        0.07101        4.53815       -1.47362        0.22326       -1.46432        0.22363        0.10888          21.28073              0.0        100001.0
  71  sol3d     16.31500        2.37374        1.21615        0.32699        0.32682        1.05730        0.92353        4.59176       15.88986        0.00211           0.11500             0.19820             0.25410             0.11415             0.19677             0.25098             2.98132            11.96178            54.62000          0.09910       -0.07383       -0.01116        0.11349        0.07101        0.42054        0.74557        0.26407        0.75728        0.26576        0.29299          22.68124              0.0        100001.0
  72  drift     16.47000        2.37374        1.21612        0.31336        0.31306        1.02395        0.88649        4.65959       16.50733        0.00211           0.11499             0.19817             0.25374             0.11414             0.19681             0.25039             2.97886            11.92769            54.46433          0.09796       -0.07372       -0.00940        0.11348        0.07101       -0.86037        0.64765        0.24255        0.65888        0.24388        0.35050          23.37552              0.0        100001.0
  73  cav       16.83000        2.59935        0.97609        0.31007        0.30906        1.01303        0.87943        3.99010       15.28550        0.00367           0.11457             0.19566             0.25443             0.11378             0.19498             0.24775             3.26135            15.02442            75.88091          0.10008        0.10017       -0.00030       -0.16264        0.07440       -3.30198       -0.24270        0.24973       -0.18824        0.24983       -1.22208          17.18499              0.0        100001.0
  74  drift     17.07000        2.59935        0.97616        0.31892        0.31627        1.02317        0.88618        3.57076       14.75951        0.00365           0.11458             0.19572             0.25518             0.11379             0.19519             0.24865             3.25535            14.93005            75.40430          0.10248        0.10032       -0.00420       -0.16264        0.07440       -4.82285       -0.35675        0.26416       -0.29994        0.26158       -0.99103          13.78808              0.0        100001.0
  75  cav       17.43000        2.77394        0.51042        0.35183        0.34652        1.09397        0.94990        2.65917       12.82537        0.00502           0.11564             0.19957             0.26610             0.11483             0.19923             0.26283             3.37390            16.15164            88.74526          0.10898        0.23162       -0.00563       -0.28630        0.07704       -6.19318       -1.16616        0.32985       -1.05390        0.32223       -1.10797           7.91003              0.0        100001.0
