ID,bpmListLib,useBPM,,mainMonListLib,useMain,,psSetListLib,psSetMaxLib,psSetMinLib,psSetAmpLib,usePS
1,BPM:1-X11,0,,MEBT_PS:QUAD_01:IMon,0,,MEBT_PS:DCH_01:Iset,12,-12,7,0
2,BPM:1-Y11,0,,MEBT_PS:QUAD_02:IMon,0,,MEBT_PS:DCV_01:Iset,12,-12,7,0
3,BPM:2-X11,1,,MEBT_PS:QUAD_03:IMon,0,,MEBT_PS:DCH_02:Iset,12,-12,7,0
4,BPM:2-Y11,1,,MEBT_PS:QUAD_04:IMon,0,,MEBT_PS:DCV_02:Iset,12,-12,7,0
5,BPM:3-X11,1,,MEBT_PS:QUAD_05:IMon,1,,MEBT_PS:DCH_03:Iset,12,-12,7,0
6,BPM:3-Y11,1,,MEBT_PS:QUAD_06:IMon,1,,MEBT_PS:DCV_03:Iset,12,-12,7,0
7,BPM:4-X11,1,,MEBT_PS:QUAD_07:IMon,1,,MEBT_PS:DCH_04:Iset,12,-12,7,0
8,BPM:4-Y11,1,,HCM1_PS:SOL_01:IMon,1,,MEBT_PS:DCV_04:Iset,12,-12,7,0
9,BPM:5-X11,1,,HCM1_PS:SOL_02:IMon,1,,MEBT_PS:DCH_05:Iset,12,-12,7,0
10,BPM:5-Y11,1,,HCM1_PS:SOL_03:IMon,1,,MEBT_PS:DCV_05:Iset,12,-12,7,0
11,BPM:6-X11,1,,HCM1_PS:SOL_04:IMon,1,,MEBT_PS:DCH_06:Iset,12,-12,7,1
12,BPM:6-Y11,1,,HCM1_PS:SOL_05:IMon,1,,MEBT_PS:DCV_06:Iset,12,-12,7,1
13,BPM:7-X11,1,,HCM1_PS:SOL_06:Imon,1,,MEBT_PS:DCH_07:Iset,12,-12,7,1
14,BPM:7-Y11,1,,HCM2_PS:SOL_01:IMon,1,,MEBT_PS:DCV_07:Iset,12,-12,7,1
15,BPM:8-X11,1,,HCM2_PS:SOL_02:IMon,1,,HCM1_PS:DCH_01:Iset,35,-35,4,1
16,BPM:8-Y11,1,,HCM2_PS:SOL_03:IMon,1,,HCM1_PS:DCV_01:Iset,50,-50,4,1
17,BPM:9-X11,1,,HCM2_PS:SOL_04:IMon,1,,HCM1_PS:DCH_02:Iset,50,-50,4,1
18,BPM:9-Y11,1,,HCM2_PS:SOL_05:IMon,1,,HCM1_PS:DCV_02:Iset,50,-50,4,1
19,BPM:10-X11,1,,HCM2_PS:SOL_06:Imon,1,,HCM1_PS:DCH_03:Iset,50,-50,4,1
20,BPM:10-Y11,1,,HCM3_PS:SOL_01:IMon,1,,HCM1_PS:DCV_03:Iset,50,-50,4,1
21,BPM:11-X11,1,,HCM3_PS:SOL_02:IMon,1,,HCM1_PS:DCH_04:Iset,50,-50,4,1
22,BPM:11-Y11,1,,HCM3_PS:SOL_03:IMon,1,,HCM1_PS:DCV_04:Iset,50,-50,4,1
23,BPM:12-X11,1,,HCM3_PS:SOL_04:IMon,1,,HCM1_PS:DCH_05:Iset,50,-50,4,1
24,BPM:12-Y11,1,,HCM3_PS:SOL_05:IMon,1,,HCM1_PS:DCV_05:Iset,50,-50,4,1
25,BPM:13-X11,1,,HCM4_PS:SOL_01:IMon,1,,HCM1_PS:DCH_06:Iset,50,-50,4,1
26,BPM:13-Y11,1,,HCM4_PS:SOL_02:IMon,1,,HCM1_PS:DCV_06:Iset,50,-50,4,1
27,BPM:14-X11,1,,HCM4_PS:SOL_03:IMon,1,,HCM2_PS:DCH_01:Iset,50,-50,4,1
