ID,bpmListLib,useBPM,,mainMonListLib,useMain,,psSetListLib,psSetMaxLib,psSetMinLib,psSetAmpLib,usePS
28,BPM:14-Y11,1,,HCM4_PS:SOL_04:IMon,1,,HCM2_PS:DCV_01:Iset,50,-50,4,1
29,BPM:15-X11,1,,HCM4_PS:SOL_05:IMon,1,,HCM2_PS:DCH_02:Iset,50,-50,4,1
30,BPM:15-Y11,1,,HCM4_PS:SOL_06:Imon,1,,HCM2_PS:DCV_02:Iset,50,-50,4,1
31,BPM:16-X11,1,,###################,0,,HCM2_PS:DCH_03:Iset,50,-50,4,1
32,BPM:16-Y11,1,,###################,0,,HCM2_PS:DCV_03:Iset,50,-50,4,1
33,BPM:17-X11,1,,###################,0,,HCM2_PS:DCH_04:Iset,50,-50,4,1
34,BPM:17-Y11,1,,###################,0,,HCM2_PS:DCV_04:Iset,50,-50,4,1
35,BPM:18-X11,1,,###################,0,,HCM2_PS:DCH_05:Iset,50,-50,4,1
36,BPM:18-Y11,1,,###################,0,,HCM2_PS:DCV_05:Iset,50,-50,4,1
37,BPM:19-X11,1,,###################,0,,HCM2_PS:DCH_06:Iset,50,-50,4,1
38,BPM:19-Y11,1,,###################,0,,HCM2_PS:DCV_06:Iset,50,-50,4,1
39,BPM:20-X11,1,,###################,0,,HCM3_PS:DCH_01:Iset,50,-50,4,0
40,BPM:20-Y11,1,,###################,0,,HCM3_PS:DCV_01:Iset,50,-50,4,0
41,BPM:21-X11,1,,###################,0,,HCM3_PS:DCH_02:Iset,50,-50,4,0
42,BPM:21-Y11,1,,###################,0,,HCM3_PS:DCV_02:Iset,50,-50,4,0
43,BPM:22-X11,1,,###################,0,,HCM3_PS:DCH_03:Iset,50,-50,4,0
44,BPM:22-Y11,1,,###################,0,,HCM3_PS:DCV_03:Iset,50,-50,4,0
45,BPM:23-X11,1,,###################,0,,HCM3_PS:DCH_04:Iset,50,-50,4,0
46,BPM:23-Y11,1,,###################,0,,HCM3_PS:DCV_04:Iset,50,-50,4,0
47,BPM:24-X11,1,,###################,0,,HCM3_PS:DCH_05:Iset,50,-50,4,0
48,BPM:24-Y11,1,,###################,0,,HCM3_PS:DCV_05:Iset,50,-50,4,0
49,BPM:25-X11,,,###################,0,,HCM4_PS:DCH_01:Iset,50,-50,4,0
50,BPM:25-Y11,,,###################,0,,HCM4_PS:DCV_01:Iset,50,-50,4,0
51,BPM:26-X11,,,###################,0,,HCM4_PS:DCH_02:Iset,50,-50,4,0
52,BPM:26-Y11,,,###################,0,,HCM4_PS:DCV_02:Iset,50,-50,4,0
53,BPM:27-X11,,,###################,0,,HCM4_PS:DCH_03:Iset,50,-50,4,0
54,BPM:27-Y11,,,###################,0,,HCM4_PS:DCV_03:Iset,50,-50,4,0
55,BPM:28-X11,,,###################,0,,HCM4_PS:DCH_04:Iset,50,-50,4,0
56,BPM:28-Y11,,,###################,0,,HCM4_PS:DCV_04:Iset,50,-50,4,0
57,BPM:29-X11,,,###################,0,,HCM4_PS:DCH_05:Iset,50,-50,4,0
58,BPM:29-Y11,,,###################,0,,HCM4_PS:DCV_05:Iset,50,-50,4,0
59,BPM:30-X11,,,###################,0,,HCM4_PS:DCH_06:Iset,50,-50,4,0
60,BPM:30-Y11,,,###################,0,,HCM4_PS:DCV_06:Iset,50,-50,4,0
