-15.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.  2.65301462  1.0162315  -4.659945   -6.79538875 -7.43861212 -1.21231975 -1.24338988  0.97690338  0.404327   -1.199798   
-13.5   0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.   2.5481155   0.76334125 -4.51088162 -6.56562138 -7.260765   -1.37830975 -1.41896725  0.85176938  0.416226   -1.07728075 
-12.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.  2.49465388  0.54378575 -4.44982325 -6.443388   -7.14067087 -1.34878287 -1.41049288  0.82638263  0.38858987 -1.09896725 
-10.5   0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.   2.46637788  0.38877288 -4.40487763 -6.35329262 -7.052822   -1.16957463 -1.28922863  0.84570537  0.3390585  -1.19683038 
-9.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  2.40600138  0.06673125 -4.32842162 -6.186943   -6.85989325 -1.40032637 -1.50614425  0.7089425   0.34197512 -1.09371163 
-7.5  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   2.36357575 -0.14701387 -4.27053025 -6.07583525 -6.73540412 -1.34185225 -1.45544713  0.72467938  0.32448613 -1.15077312 
-6.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  2.4338905  -0.22597762 -4.37437287 -6.16694412 -6.76930762 -1.238283   -1.33156437  0.84422988  0.36022625 -1.183341   
-4.5  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   2.34230962 -0.53585825 -4.2782775  -5.98813663 -6.56005475 -1.41680162 -1.4919465   0.74428987  0.361042   -1.11233588 
-3.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  2.34889325 -0.68595363 -4.2723715  -5.93772888 -6.50102538 -1.37413413 -1.47837525  0.72183162  0.34798375 -1.11231313 
-1.5  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   2.4052695  -0.82212925 -4.38589825 -6.03585362 -6.50476462 -1.26636013 -1.3343235   0.860381    0.37852537 -1.18881688 
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  2.326433   -1.08998438 -4.26544075 -5.8306575  -6.2980095  -1.38540963 -1.46764213  0.75115575  0.36014075 -1.12438075 
 1.5  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   2.354749   -1.23586425 -4.32528612 -5.8584025  -6.2709725  -1.27768463 -1.35645862  0.836371    0.3741315  -1.18623988 
 3.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  2.299005   -1.482019   -4.23843575 -5.69579075 -6.08383712 -1.21048862 -1.3061315   0.83050263  0.32931075 -1.28213625 
 4.5  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   2.204212   -1.74263363 -4.09260825 -5.451703   -5.87183238 -1.39180463 -1.49941562  0.6923645   0.33922863 -1.13632525 
 6.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  2.16818613 -1.92021438 -4.04286275 -5.34796212 -5.7570815  -1.202316   -1.37542175  0.68901287  0.26700588 -1.24896888 
 7.5  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   2.21835    -2.13200537 -4.14320412 -5.4066275  -5.6944415  -1.45013562 -1.49889637  0.753542    0.38171963 -1.136836   
