ID,bpmListLib,useBPM,,mainMonListLib,useMain,,psSetListLib,psSetMaxLib,psSetMinLib,psSetAmpLib,usePS
57,BPM:29-X11,0,,###################,0,,HCM4_PS:DCH_05:ISet,50,-50,4,0
58,BPM:29-Y11,0,,###################,0,,HCM4_PS:DCV_05:ISet,50,-50,4,0
59,BPM:30-X11,0,,###################,0,,HCM4_PS:DCH_06:ISet,50,-50,4,0
60,BPM:30-Y11,0,,###################,0,,HCM4_PS:DCV_06:ISet,50,-50,4,0
61,BPM:31-X11,0,,###################,0,,MEBT_PS:QUAD_01:ISet,90,60,4,1
62,BPM:31-Y11,0,,###################,0,,MEBT_PS:QUAD_02:ISet,110,80,4,1
63,BPM:32-X11,0,,###################,0,,MEBT_PS:QUAD_03:ISet,110,80,4,1
64,BPM:32-Y11,0,,###################,0,,MEBT_PS:QUAD_04:ISet,0,0,4,0
65,BPM:33-X11,0,,###################,0,,MEBT_PS:QUAD_05:ISet,90,60,4,1
66,BPM:33-Y11,0,,###################,0,,MEBT_PS:QUAD_06:ISet,115,85,4,1
67,BPM:34-X11,0,,###################,0,,MEBT_PS:QUAD_07:ISet,65,25,4,1
68,BPM:34-Y11,0,,###################,0,,###################,0,0,0,0
69,BPM:35-X11,0,,###################,0,,###################,0,0,0,0
70,BPM:35-Y11,0,,###################,0,,###################,0,0,0,0
71,BPM:36-X11,0,,###################,0,,###################,0,0,0,0
72,BPM:36-Y11,0,,###################,0,,###################,0,0,0,0
73,BPM:37-X11,0,,###################,0,,###################,0,0,0,0
74,BPM:37-Y11,0,,###################,0,,###################,0,0,0,0
75,BPM:38-X11,0,,###################,0,,###################,0,0,0,0
76,BPM:38-Y11,0,,###################,0,,###################,0,0,0,0
77,BPM:39-X11,0,,###################,0,,###################,0,0,0,0
78,BPM:39-Y11,0,,###################,0,,###################,0,0,0,0
79,BPM:40-X11,0,,###################,0,,###################,0,0,0,0
80,BPM:40-Y11,0,,###################,0,,###################,0,0,0,0
