1.00E-02	0.96	9.93E-03
1.00E-02	0.9414	1.28E-02
1.00E-02	0.9227	1.44E-02
1.00E-02	0.9041	1.54E-02
1.00E-02	0.8855	1.61E-02
1.00E-02	0.8669	1.66E-02
1.00E-02	0.8482	1.69E-02
1.00E-02	0.8296	1.71E-02
1.00E-02	0.811	1.72E-02
1.00E-02	0.7923	1.72E-02
1.00E-02	0.7737	1.72E-02
1.00E-02	0.7551	1.71E-02
1.00E-02	0.7364	1.69E-02
1.00E-02	0.7178	1.67E-02
1.00E-02	0.6992	1.65E-02
1.00E-02	0.6805	1.63E-02
1.00E-02	0.6619	1.60E-02
1.00E-02	0.6433	1.57E-02
1.00E-02	0.6247	1.54E-02
1.00E-02	0.606	1.51E-02
1.00E-02	0.5874	1.47E-02
1.00E-02	0.5688	1.44E-02
1.00E-02	0.5501	1.40E-02
1.00E-02	0.5315	1.36E-02
1.00E-02	0.5129	1.32E-02
1.00E-02	0.4942	1.28E-02
1.00E-02	0.4756	1.24E-02
1.00E-02	0.457	1.19E-02
1.00E-02	0.4384	1.15E-02
1.00E-02	0.4197	1.11E-02
1.00E-02	0.4011	1.06E-02
1.00E-02	0.3825	1.02E-02
1.00E-02	0.3638	9.71E-03
1.00E-02	0.3452	9.24E-03
1.00E-02	0.3266	8.78E-03
1.00E-02	0.3079	8.30E-03
1.00E-02	0.2893	7.83E-03
1.00E-02	0.2707	7.34E-03
1.00E-02	0.2521	6.86E-03
1.00E-02	0.2334	6.37E-03
1.00E-02	0.2148	5.88E-03
1.00E-02	0.1962	5.38E-03
1.00E-02	0.1775	4.89E-03
1.00E-02	0.1589	4.38E-03
1.00E-02	0.1403	3.88E-03
1.00E-02	0.1216	1.49E-02
1.00E-02	0.103	2.09E-02
1.00E-02	8.44E-02	2.13E-02
1.00E-02	6.58E-02	1.90E-02
1.00E-02	4.71E-02	1.48E-02
1.00E-02	2.85E-02	9.38E-03
2.20E-02	0.96	1.08E-02
2.20E-02	0.9414	1.43E-02
2.20E-02	0.9227	1.94E-02
2.20E-02	0.9041	2.31E-02
2.20E-02	0.8855	2.57E-02
2.20E-02	0.8669	2.75E-02
